"id","name","host_id","host_name","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"4056174","Modern dbl rm & bathoom & parking","18160693","Kate","Havering","51.5808749","0.176023445","Private room","30","14","3","16/02/2017","0.11","1","362"
"12962736","Two Bedroom Apartment Scimitar House","68996973","Estates And Lets","Havering","51.57521848","0.186313269","Entire home/apt","130","3","1","18/09/2016","0.18","4","94"
"1159758","Feel like home - Enjoy your stay","4942966","Mangala","Havering","51.60195447","0.238153772","Private room","78","3","30","13/01/2016","0.65","1","364"
"12556284","Flat in recently renewed building","68057096","Rita","Havering","51.57046288","0.175370031","Entire home/apt","50","1","0","","-1.0","1","0"
"345073","FLAT AVAILABL FOR THE OLYMPICS 2012","1750200","Gilbert","Havering","51.57089764","0.187004343","Entire home/apt","150","4","0","","-1.0","2","365"
"16346847","Spacious Single Room near Station!","76511734","Kevin","Havering","51.58193381","0.211789499","Private room","20","1","10","05/02/2017","4.35","2","134"
"17130535","Large house in Elm Park","95016547","Tina","Havering","51.55064058","0.19338364","Entire home/apt","120","2","1","27/02/2017","1.0","1","61"
"3182243","GIDEA PARK   ESSEX    SINGLE ROOM","8584509","Paul","Havering","51.58293419","0.201052117","Private room","30","1","11","01/11/2016","0.54","1","364"
"3233965","LONDON PIN'S 1BED FLAT, SLEEPS 2-8.","15952625","Lydia","Havering","51.60412999","0.158583604","Entire home/apt","60","2","4","17/04/2016","0.14","34","365"
"8605024","Quality room in house with Ensuite","45273901","Graham","Havering","51.56537776","0.174704103","Private room","30","1","0","","-1.0","1","0"
"81951","LONDON DETACHED HOUSE*ElecGates etc","445322","Richard","Havering","51.58519086","0.156390375","Entire home/apt","190","5","0","","-1.0","1","364"
"345074","FLAT AVAILABLE FOR OLYMPICS 2012","1750200","Gilbert","Havering","51.57888865","0.209695783","Entire home/apt","290","6","0","","-1.0","2","365"
"13450291","Character 4 Bed London Home - Golf/Station/Buses","7834885","Patrick","Havering","51.57148416","0.258923719","Entire home/apt","135","4","0","","-1.0","1","168"
"7550784","Modern Large Cosy 1 Bedroom Flat","39525381","Arif","Havering","51.58468477","0.220674387","Entire home/apt","90","1","2","23/08/2015","0.1","1","276"
"5974560","Room in London available for summer","31016158","David","Havering","51.56704435","0.1872352","Private room","35","14","0","","-1.0","1","365"
"3703961","Single Bed + WIFI  - 45min to Central London","18883209","Greetel","Havering","51.60407734","0.216838206","Private room","27","1","31","26/11/2016","1.43","1","88"
"15403238","LONDON ALD'S  1BED FLAT SLEEPS 2-6, CLOSE TO CITY.","91720968","Kouami","Havering","51.58254217","0.160798261","Entire home/apt","60","4","2","29/01/2017","1.0","28","174"
"11733436","House share 3 to 6 months required","62408733","Najma","Havering","51.57243346","0.168739778","Private room","40","1","0","","-1.0","1","365"
"17235907","Large Family Room in a clean home","87753383","Angeline","Havering","51.60160611","0.238833592","Private room","75","3","0","","-1.0","3","319"
"16574028","Factory home living","25054656","Vanessa","Havering","51.58326509","0.211813456","Private room","70","1","0","","-1.0","1","365"
"8604393","Modern Space- 23mins to Stratford","26611356","Shane","Havering","51.60688428","0.225137146","Entire home/apt","40","3","1","02/01/2016","0.07","1","0"
"13422913","Spacious Double Room near Train Station!","76511734","Kevin","Havering","51.58358196","0.211943643","Private room","30","1","12","01/03/2017","1.91","2","354"
"17352005","Morland House Apartments","113497192","Morland","Havering","51.57481037","0.184115652","Entire home/apt","100","2","0","","-1.0","6","180"
"12893964","large room double bed and sofa bed or single bed","65752173","Collette","Havering","51.54922016","0.207484388","Private room","30","2","5","27/08/2016","0.59","2","311"
"14462146","Lovely En-suite Dagenham","53177692","Leonardo","Havering","51.55801102","0.185894886","Private room","45","2","0","","-1.0","4","364"
"17351962","Morland House Apartments","113497192","Morland","Havering","51.57686866","0.184837993","Entire home/apt","100","2","0","","-1.0","6","180"
"14958975","Colourful Triple room","94176624","Ana","Havering","51.5825314","0.21011984","Private room","30","1","1","08/10/2016","0.2","1","0"
"16452221","Very clean and elegant double room","15803784","Anurag","Havering","51.55510317","0.210971887","Private room","70","1","0","","-1.0","1","180"
"14463228","Lovely Single Room","53177692","Leonardo","Havering","51.55788135","0.187365635","Private room","35","2","0","","-1.0","4","0"
"16787271","Large Double Bedroom in Modern House, Nr Upminster","18812964","Angela","Havering","51.56725445","0.272486849","Private room","40","1","0","","-1.0","1","35"
"14296018","Private self-contained Brand New Studio","87302695","Jasmeet","Havering","51.56513226","0.205366023","Entire home/apt","45","1","9","18/02/2017","1.44","1","315"
"17310423","Cosy double room near Romford","71077829","Preity","Havering","51.59885771","0.167074456","Private room","20","3","1","25/02/2017","1.0","1","344"
"14463028","Lovely single Room","53177692","Leonardo","Havering","51.55892546","0.186928723","Private room","35","2","0","","-1.0","4","364"
"17046350","Modern & Stunning Room Upminster","24142315","Josephine","Havering","51.55592941","0.266842773","Private room","42","1","0","","-1.0","1","364"
"12847531","1 Bed Apartment/ Romford","68996973","Estates And Lets","Havering","51.57562617","0.186696801","Entire home/apt","95","3","1","28/10/2016","0.23","4","31"
"7340450","Affordable Clean Big Double Room","16346795","Petra","Havering","51.57485952","0.214053321","Private room","30","1","22","31/01/2017","1.34","1","80"
